"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2016","2017","2018","2019","2020"
"08059","Jefferson, CO*",27327327,27962649,28935488,30113572,29075319
"08061","Kiowa, CO",49382,54097,54467,76882,92444
"08063","Kit Carson, CO",377202,321257,282013,364462,404348
"08065","Lake, CO",238445,258317,264924,299173,279119
"08067","La Plata, CO",3637101,3531171,3403255,3337450,3133046
"08069","Larimer, CO",15859962,17046840,17863652,18815195,18624980
"08071","Las Animas, CO",720637,712595,686472,674763,687058
"08073","Lincoln, CO",351613,357561,346758,349399,407597
"08075","Logan, CO",1215151,1033788,995087,988146,993645
"08077","Mesa, CO",5460516,5724372,5967075,6039762,5849815
"08079","Mineral, CO",47893,49724,52987,53697,47817
"08081","Moffat, CO",1055114,1026884,952534,993518,988747
"08083","Montezuma, CO",2235108,2323033,1910458,1990268,1698561
"08085","Montrose, CO",1305361,1335236,1449318,1478875,1467479
"08087","Morgan, CO",1433100,1417097,1522602,1479665,1444845
"08089","Otero, CO",489268,488792,520822,554988,561878
"08091","Ouray, CO",206129,200813,209924,221293,221206
"08093","Park, CO",372674,376251,382312,409944,410660
"08095","Phillips, CO",191384,165253,180410,180001,190461
"08097","Pitkin, CO",1918905,1993986,2019058,2040693,1846417
"08099","Prowers, CO",547551,489204,512958,502188,469347
"08101","Pueblo, CO",5456322,5447171,5626244,5790286,5552533
"08103","Rio Blanco, CO",913784,819300,756446,807105,776121
"08105","Rio Grande, CO",382838,383193,419472,435773,443550
"08107","Routt, CO",1659269,1726010,1721099,1803011,1728212
"08109","Saguache, CO",174520,163489,186030,210208,213097
"08111","San Juan, CO",51295,55161,32409,33225,50883
"08113","San Miguel, CO",571233,571685,572545,588502,553806
"08115","Sedgwick, CO",100783,66555,73907,79740,84330
"08117","Summit, CO",2139228,2312817,2300478,2401743,2272803
"08119","Teller, CO",844361,907518,880384,918493,893142
"08121","Washington, CO",178688,162603,167576,183858,224582
"08123","Weld, CO*",19696188,21209709,22881521,23686854,20961477
"08125","Yuma, CO",780724,519128,508649,563662,547401
"09001","Fairfield, CT",80077784,80739072,82176512,81895069,77114999
"09003","Hartford, CT",76667322,78655957,78719146,79002484,73199344
"09005","Litchfield, CT",7438931,7513422,7385901,7612070,7185935
"09007","Middlesex, CT",8576127,8701521,8740036,8854701,8113106
"09009","New Haven, CT",45210512,45503436,46357219,47182725,45522066
"09011","New London, CT",16312597,17117781,17444299,17508777,15556716
"09013","Tolland, CT",4692373,4891203,4841261,4961783,4875457
"09015","Windham, CT",4374378,4316528,4393990,4550511,4363941
"10001","Kent, DE",6834253,6811917,7128085,7681601,7646121
"10003","New Castle, DE",45003750,43014901,43292638,44503725,42841997
"10005","Sussex, DE",11181694,11003146,11359701,12151829,11648893
"11001","District of Columbia, DC",119644271,120898866,123836129,124990299,122342074
"12001","Alachua, FL",11440644,11882789,12295786,12675917,12653895
"12003","Baker, FL",600535,608781,595462,598797,634614
"12005","Bay, FL",7529526,7549896,7649376,7770640,7692145
"12007","Bradford, FL",596716,634593,647437,608191,595628
"12009","Brevard, FL",21397041,22594688,23605957,24488126,24277041
"12011","Broward, FL",91187725,93781998,96571820,99667401,95048259
"12013","Calhoun, FL",244542,267079,224485,228221,230116
"12015","Charlotte, FL",4529927,4758246,4934235,5132804,5123076
"12017","Citrus, FL",3466127,3385083,3528236,3889873,3829030
"12019","Clay, FL",4613576,4721246,4918863,5044563,4909445
"12021","Collier, FL",16477877,16698069,17643609,17915539,17555943
"12023","Columbia, FL",1944960,2027419,2107949,2160466,2088576
"12027","DeSoto, FL",905832,946433,908827,973502,976720
"12029","Dixie, FL",270561,287185,283977,280960,281574
"12031","Duval, FL",54067372,56125885,58004224,60575324,60529067
"12033","Escambia, FL",13629749,14039634,13977767,14286019,14144123
"12035","Flagler, FL",2326436,2434183,2481563,2605838,2656526
"12037","Franklin, FL",323090,331205,336194,344397,335276
"12039","Gadsden, FL",1121902,1183589,1172331,1182620,1209061
"12041","Gilchrist, FL",346188,324645,336277,345971,433369
"12043","Glades, FL",298157,280350,287745,354905,371528
"12045","Gulf, FL",387281,370413,370845,381387,391919
"12047","Hamilton, FL",384891,424869,442683,458490,465954
"12049","Hardee, FL",1061010,1042130,954913,964327,1046593
"12051","Hendry, FL",1259594,1194074,1249834,1299512,1350357
"12053","Hernando, FL",3541729,3692428,3906214,3966234,3928981
"12055","Highlands, FL",2317301,2366543,2280684,2426133,2391999
"12057","Hillsborough, FL",77171028,78947958,81571702,85153512,83550687
"12059","Holmes, FL",314977,327350,320516,372328,366217
"12061","Indian River, FL",5822835,5902937,6037532,6251797,5986673
"12063","Jackson, FL",1185902,1230733,1226396,1248219,1225756
"12065","Jefferson, FL",277120,277948,266423,274791,280391
"12067","Lafayette, FL",166321,161912,167277,150680,160099
"12069","Lake, FL",8335997,8691209,9011351,9264579,9373794
"12071","Lee, FL",27623624,28267947,29219725,29723883,29010141
"12073","Leon, FL",12994042,13404341,13447368,13766905,13327769
"12075","Levy, FL",866386,916958,912725,906727,900987
"12077","Liberty, FL",191618,200207,203246,185745,184750
"12079","Madison, FL",370256,378516,398626,384413,394406
"12081","Manatee, FL",12398681,12836217,13422725,14154659,14048289
"12083","Marion, FL",8739416,8913100,9183128,9424822,9597165
"12085","Martin, FL",6805959,6783251,7038143,7155892,7009099
"12086","Miami-Dade, FL",135688296,141911182,147635005,148725621,140522662
"12087","Monroe, FL",4272706,4403285,4400490,4648398,4384775
"12089","Nassau, FL",2304283,2366277,2409050,2565853,2506699
"12091","Okaloosa, FL",9972945,10330321,10604298,11170644,11158763
"12093","Okeechobee, FL",1167576,1270748,1164899,1594097,1741977
"12095","Orange, FL",81407244,84883628,87735065,90788216,83705113
"12097","Osceola, FL",8701695,9238559,9480358,10151723,9751770
"12099","Palm Beach, FL",70769497,73648041,76147469,77975264,75792930
"12101","Pasco, FL",10973234,11315216,11738089,12256921,12330615
"12103","Pinellas, FL",43507100,44237143,45452286,46331979,45673601
"12105","Polk, FL",22171258,23421440,24014079,24938252,25297584
"12107","Putnam, FL",1972973,1949509,1989467,2013030,2037383
"12109","St. Johns, FL",7422351,7943148,8457444,8889977,8943146
"12111","St. Lucie, FL",8143281,8428741,8701967,8786833,8775826
"12113","Santa Rosa, FL",3952633,4035877,4261652,4403068,4421093
"12115","Sarasota, FL",17274283,18268336,19217046,19617326,19267728
"12117","Seminole, FL",18091669,19026064,19980261,20751894,20452076
"12119","Sumter, FL",2723167,2868175,3104927,3735975,3858944
"12121","Suwannee, FL",1165679,1203912,1245090,1168357,1144990
"12123","Taylor, FL",702725,680087,688200,659514,633062
"12125","Union, FL",260311,273061,264913,266577,280227
"12127","Volusia, FL",15629979,16125246,16619701,16867458,16551140
"12129","Wakulla, FL",622659,666677,619304,670427,669574
"12131","Walton, FL",2590432,2725912,2801980,3028535,3008342
"12133","Washington, FL",495589,510122,508906,535744,533506
"13001","Appling, GA",1432677,1437273,1383965,1388942,1521770
"13003","Atkinson, GA",193147,208815,210451,219752,217106
"13005","Bacon, GA",315889,329599,323019,339090,349207
"13007","Baker, GA",80889,64302,64412,73676,71567
"13009","Baldwin, GA",1203653,1183560,1174201,1227563,1156519
"13011","Banks, GA",371112,399841,419464,395898,352612
"13013","Barrow, GA",1760271,1856979,1969504,2011714,2024624
"13015","Bartow, GA",4370006,4454461,4506843,4529467,4424931
"13017","Ben Hill, GA",461387,460170,460827,464846,464145
"13019","Berrien, GA",341489,347844,345838,365401,336630
"13021","Bibb, GA",7345408,7498495,7640986,7565865,7305106
"13023","Bleckley, GA",215078,217524,212654,218073,213883
"13025","Brantley, GA",216307,219121,224791,223503,218296
"13027","Brooks, GA",305209,304231,295490,372427,422365
